,address,daesil_price,sukbak_price
0,Gangnam-gu,26400.0,74883.07692307692
1,Gangdong-gu,19122.5,51675.0
2,Gangbuk-gu,18485.915492957745,44422.535211267605
3,Gangseo-gu,19950.0,50500.0
4,Gwanak-gu,20384.615384615383,55557.692307692305
5,Gwangjin-gu,21972.222222222223,62291.666666666664
6,Guro-gu,22214.285714285714,52928.57142857143
7,Geumcheon-gu,23856.235294117647,54705.882352941175
8,Nowon-gu,21363.636363636364,60454.545454545456
9,Dobong-gu,25333.333333333332,65000.0
10,Dongdaemun-gu,20604.166666666668,55895.833333333336
11,Dongjak-gu,19500.0,52125.0
12,Mapo-gu,21708.333333333332,74562.08333333333
13,Seodaemun-gu,21433.714285714286,72057.14285714286
14,Seocho-gu,25947.36842105263,68631.57894736843
15,Seongdong-gu,20766.666666666668,57100.0
16,Seongbuk-gu,20650.0,61690.0
17,Songpa-gu,22210.526315789473,64263.15789473684
18,Yangcheon-gu,19000.0,52500.0
19,Yeongdeungpo-gu,21847.40740740741,57981.22222222222
20,Yongsan-gu,22956.521739130436,63956.52173913043
21,Eunpyeong-gu,20738.85,53250.0
22,Jongno-gu,21991.46153846154,66388.92307692308
23,Jung-gu,23663.0,69255.5925925926
24,Jungnang-gu,20162.162162162163,50486.48648648649
